Sum,rain,maxt,mint,gmin,soil
176687.669,0.3,20.3,12.9,8.0,15.2
180644.944,8.7,19.6,13.1,9.0,15.5
182155.706,5.6,20.5,13.8,8.9,15.6
183817.371,0.1,16.5,12.1,10.5,15.8
184081.922,0.0,14.6,10.0,6.3,14.5
181470.045,0.0,14.0,1.5,-1.5,13.0
178336.131,0.0,13.3,3.9,0.8,13.0
171076.082,0.8,16.0,6.0,4.0,13.5
182486.648,5.4,14.2,9.0,4.9,13.5
186949.442,1.7,18.4,4.0,1.2,12.2
182962.142,1.4,15.5,3.5,0.8,12.4
184778.723,0.3,16.2,12.0,7.9,13.6
183169.586,2.2,14.6,7.4,2.6,12.5
183531.159,0.2,16.5,3.7,0.0,12.0
174555.774,2.8,15.5,1.4,-1.5,11.0
185954.972,0.6,16.3,7.6,4.4,11.5
184348.311,0.6,17.5,4.2,-0.6,11.0
184182.692,0.5,17.5,9.5,5.2,11.5
184018.953,0.2,19.4,13.9,9.7,13.5
184508.882,0.0,18.5,16.3,12.9,14.7
181544.499,0.0,15.5,0.0,13.1,10.0
176348.263,0.0,15.5,4.0,2.5,11.0
181578.63,0.0,15.5,4.0,2.5,11.0
185292.06,0.0,15.5,4.0,2.5,11.0
191182.888,0.0,15.5,4.0,2.5,11.0
190975.883,2.1,15.5,4.0,2.5,11.0
187040.141,0.4,15.5,4.0,2.5,11.0
183597.258,0.9,15.5,4.0,2.5,11.0
178758.146,1.5,15.5,4.0,2.5,11.0
191624.61,0.3,14.4,5.0,2.5,11.0
192981.268,0.5,12.0,-2.1,-4.6,8.4
193595.353,0.0,13.6,0.8,-2.5,8.6
193694.855,11.6,13.0,-0.5,-3.5,8.0
196977.4,0.5,13.8,3.2,-1.5,9.0
186227.651,0.1,11.7,-1.5,-5.5,7.0
177110.213,8.4,15.0,-4.4,-6.8,5.5
180994.968,7.0,16.5,2.0,-1.9,9.5
199923.299,9.9,13.2,5.3,2.7,10.0
197593.942,6.6,15.1,4.6,0.5,9.0
200503.594,11.8,10.3,9.0,7.3,10.7
201756.678,4.6,13.5,-0.3,-3.0,8.0
192068.026,3.7,10.5,3.5,0.0,8.5
195234.416,5.1,13.6,0.0,-3.0,8.0
206008.375,14.8,13.2,5.0,3.6,9.5
207258.011,21.3,15.2,7.3,2.6,9.5
205079.997,10.5,15.6,7.4,6.0,12.0
202763.045,1.2,11.5,9.4,5.4,11.5
202907.22,3.2,9.0,0.0,-1.5,9.3
199445.714,18.7,9.0,0.0,-2.5,7.3
196210.47,6.6,11.7,0.0,-1.0,7.7
207719.22,0.0,9.7,5.5,3.5,8.1
210580.611,10.9,12.0,-3.8,-6.7,6.0
210327.045,3.7,10.5,-1.0,-4.2,8.0
209434.877,6.7,9.8,6.1,2.0,8.0
207010.064,5.0,6.4,0.4,-3.5,7.0
203665.917,1.1,6.5,-3.0,-7.4,5.1
196667.596,2.0,8.7,-2.1,-5.5,4.1
213121.775,13.1,10.0,-1.5,-5.0,4.0
216876.274,12.6,10.3,6.0,2.5,6.5
210499.045,1.5,9.5,6.8,6.0,7.8
208449.346,0.1,11.0,-1.0,-5.0,6.0
207981.442,0.0,9.0,0.0,-1.6,7.0
204258.859,0.0,6.0,1.0,-0.8,6.0
197321.533,0.0,5.0,-3.1,-7.0,4.2
216231.313,0.2,5.5,-0.8,-6.1,4.2
216980.491,0.0,5.7,1.0,-2.5,5.0
218019.484,0.5,5.5,-3.0,-7.0,4.0
219014.546,0.0,5.6,0.5,-1.2,4.0
220064.134,0.3,2.8,-2.0,-7.0,3.7
218068.546,0.0,0.0,-3.8,-9.5,3.0
214982.843,0.0,-1.0,-6.0,-12.2,2.0
236525.901,0.0,2.4,-5.9,-10.5,1.5
243153.054,0.0,-0.4,-5.2,-11.0,1.0
242484.694,1.0,-0.5,-4.9,-8.4,-2.0
243078.998,3.0,3.5,-10.6,-14.0,-0.2
244212.299,0.0,2.8,-2.5,-5.6,0.5
218239.823,0.0,-1.0,-6.0,-8.8,0.6
206741.345,2.2,1.5,-6.0,-7.9,0.5
243438.596,4.0,-0.1,-4.7,-7.2,1.0
246247.076,0.0,0.5,-8.0,-8.0,0.0
247286.565,1.3,3.2,-8.5,-11.0,-0.4
243851.554,0.3,6.6,-5.0,-8.0,0.2
233601.228,0.0,5.5,2.8,1.1,0.5
221944.814,0.0,7.5,-2.0,-5.0,1.1
217014.801,0.0,7.0,-1.5,-6.8,1.0
236391.216,0.1,4.5,-2.2,-5.5,1.0
235636.298,0.7,8.4,-2.5,-3.0,1.1
238503.391,0.7,8.2,1.5,1.5,2.1
236341.271,1.0,2.5,-3.2,-7.0,2.6
242644.462,0.0,1.0,-7.0,-11.0,2.0
239088.625,0.0,1.0,-6.4,-9.6,1.5
234269.849,0.0,-2.2,-7.5,-11.0,1.0
260118.211,0.0,-3.5,-8.0,-10.5,0.8
271174.85,0.0,-4.0,-9.2,-12.0,0.2
274086.633,0.0,-2.5,-11.7,-14.0,0.5
254176.743,0.0,-6.5,-11.5,-13.9,-0.5
280816.886,0.4,5.5,-14.0,-15.2,-1.5
270873.588,12.0,9.0,-13.0,-13.5,0.6
240925.038,11.0,9.8,5.2,4.5,0.8
226933.067,0.2,13.0,7.4,3.7,1.0
217643.031,0.0,10.8,8.7,7.3,2.5
220149.869,0.0,10.7,6.5,2.8,3.5
219638.733,0.0,8.0,6.0,0.5,3.9
221597.615,1.0,7.2,3.0,2.9,3.6
